Industry,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg_wk,avg_yr
Construction,2020,1220.7,1223.82,1224.6,1194.05,1220.26,1229.24,1238.25,1244.16,1237.8,1240.91,1251.59,1251.12,1231.375,64031.5
Construction,2021,1263.5,1233.1,1270.26,1272.71,1276.08,1270.13,1280.59,1286.81,1317.49,1288.85,1308.29,1321.66,1282.455833,66687.70333
Construction,2022,1312.6,1334.63,1317.8,1335.05,1347.06,1346.75,1351.02,1351.79,1358.76,1368.48,1364.83,1379.66,1347.369167,70063.19667
Construction,2023,1409.76,1399.32,1396.8,1405.46,1411.29,1417.65,1432.08,1438.88,1437.93,1447.48,1461.96,1457.26,1426.3225,74168.77
Construction,2024,1451.64,1464.06,1484.36,1466.41,1483.56,1497.33,1485.65,1491.43,1507.31,1508.91,1504.28,1510.87,1487.984167,77375.17667
Construction,2025,1515.92,1514.72,1541.35,1533.87,1539.33,1542,1549.47,1555.22,1560.39,1561.45,1578.58,1573.12,1547.118333,80450.15333
Manufacturing,2020,1136.46,1144.94,1144.12,1111.12,1122.69,1119.82,1143.85,1158.49,1159.77,1168.83,1169.98,1165.4,1145.455833,59563.70333
Manufacturing,2021,1176.12,1172.63,1178.47,1184.53,1192.2,1192.88,1201.09,1207.71,1214.19,1213.84,1222.29,1228.77,1198.726667,62333.78667
Manufacturing,2022,1230.36,1237.49,1241.95,1243.51,1244.72,1241.64,1249.17,1250.51,1254.54,1264.52,1264.21,1262.35,1248.7475,64934.87
Manufacturing,2023,1285.4,1276.7,1279.97,1284,1288.81,1298.44,1302.4,1304,1314.08,1317.69,1318.7,1322.55,1299.395,67568.54
Manufacturing,2024,1329.87,1336.4,1342.8,1347.76,1354.98,1363,1359.79,1371.82,1375.03,1372.16,1383.85,1385.86,1360.276667,70734.38667
Manufacturing,2025,1389.2,1398.69,1420.58,1408.71,1415.93,1418.34,1427.5,1423.2,1428,1434.8,1443.2,1443.2,1420.945833,73889.18333
"Trade, transportation, and utilities",2020,839.2,844.4,849.19,865.62,867.1,857.84,860.68,869.85,875.48,874.1,877.89,881.51,863.5716667,44905.72667
