Industry,Year,union_rate
Construction,2020,12.7
Construction,2021,12.6
Construction,2022,11.7
Construction,2023,10.7
Construction,2024,10.3
Construction,2025,11.1
Manufacturing,2020,8.5
Manufacturing,2021,7.7
Manufacturing,2022,7.8
Manufacturing,2023,7.9
Manufacturing,2024,7.8
Manufacturing,2025,7.7
Wholesale trade,2020,4.3
Wholesale trade,2021,3.7
Wholesale trade,2022,3.3
Wholesale trade,2023,4.7
Wholesale trade,2024,4.6
Wholesale trade,2025,5.8
"Trade, transportation, and utilities",2020,17.6
"Trade, transportation, and utilities",2021,15.4
"Trade, transportation, and utilities",2022,15.2
"Trade, transportation, and utilities",2023,16.5
"Trade, transportation, and utilities",2024,16.2
"Trade, transportation, and utilities",2025,14.3
Information,2020,9.3
Information,2021,10
Information,2022,8.4
Information,2023,7.4
Information,2024,6.6
Information,2025,6.6
Finance and insurance,2020,1.4
Finance and insurance,2021,1.3
Finance and insurance,2022,1.3
Finance and insurance,2023,1.3
Finance and insurance,2024,0.9
Finance and insurance,2025,1
Real estate and rental and leasing,2020,3.5
Real estate and rental and leasing,2021,5.2
Real estate and rental and leasing,2022,3.6
Real estate and rental and leasing,2023,3
Real estate and rental and leasing,2024,2.6
Real estate and rental and leasing,2025,3.4
Education and health services,2020,8.4
Education and health services,2021,7.9
Education and health services,2022,7.8
Education and health services,2023,8.1
Education and health services,2024,8.1
Education and health services,2025,8.2
Educational services,2020,13.5
Educational services,2021,12.9
Educational services,2022,12.4
Educational services,2023,12.9
Educational services,2024,13.2
Educational services,2025,13.4
Leisure and hospitality,2020,2.2
Leisure and hospitality,2021,2.2
Leisure and hospitality,2022,2.8
Leisure and hospitality,2023,2.9
Leisure and hospitality,2024,3
Leisure and hospitality,2025,3
Other services (except public administration),2020,2.5
Other services (except public administration),2021,3.1
Other services (except public administration),2022,2.8
Other services (except public administration),2023,3
Other services (except public administration),2024,2.7
Other services (except public administration),2025,3.5
Health care and social assistance,2020,7.1
Health care and social assistance,2021,6.6
Health care and social assistance,2022,6.6
Health care and social assistance,2023,6.9
Health care and social assistance,2024,6.8
Health care and social assistance,2025,6.8
